"parent_id,""child_id"""
"cities,objects_for_purchaser"
"cities,objects_for_redemption"
"cities,object_type_count"
"cities,ocenka_final"
"cities,omnichat_new"
"cities,paper_sites_summ_2017"
"cities,params_online_instruments"
"cities,params_tyumen_cks_service"
"cities,podborka_leases"
"cities,pokaz_ries_mobile"
"cities,raskleyka_ticket"
"cities,regional_ticket_and_deal"
"cities,regional_ticket_city_ticket"
"cities,ries_modul_final"
"cities,sell_cottages_document"
"cities,site_views_new"
"cities,sk_time_to_staff"
"cities,slice_active_secondary_flats"
"cities,sms_city"
"cities,srez_po_baze_rieltorov_all"
"cities,ticket_all_finall"
"cities,ticket_care"
"cities,ticket_newhouses_and_build"
"cities,uplexr_site_object_filial"
"cities,view_newhouses"
"cities,voronka_sale_object"
"cities,voronka_ticket_buyer"
"cities_config_sms,sms_city"
"cities_duty_list_mortgage,broker_working_time"
"cities_duty_list_mortgage,helper_working_time"
"cities_duty_list_mortgage,i_ticket_work_ankets_to_banks"
"cities_duty_list_mortgage,i_ticket_work_online_ankets_to_banks"
"cities_duty_list_mortgage,i_ticket_work_res_created_action"
"cities_duty_list_mortgage,i_ticket_work_res_created_action_kons"
"cities_duty_list_mortgage,i_ticket_work_res_created_action_new"
"cities_duty_list_mortgage,i_ticket_work_res_created_to_action_onli"
"cities_duty_list_mortgage,i_ticket_work_res_online_action_to_call"
"cities_duty_list_mortgage,i_ticket_work_wait_kons_to_call"
"cities_duty_list_mortgage,mortgage_calls_ticket_created"
"cities_related,error_all_upload"
"city_object_change_ticket,convers_cooperative"
"city_object_change_ticket,convers_cooperative_ticket"
"city_object_change_ticket,converse_cooperative_buy_incoming"
"city_object_change_ticket,converse_cooperative_buy_outgoing"
"city_object_change_ticket,converse_cooperative_sell"
"city_object_change_ticket,converse_cooperative_sell_incoming"
"city_object_change_ticket,converse_cooperative_sell_outgoing"
"city_object_change_ticket,params_tyumen_cks_service"
"city_object_change_ticket,regional_ticket_city_ticket"
"click_house_hits,test_obj_all"
"click_house_hits,view_object_all"
"clients_in_office_almatu,gd_pedestrian_all"
"client_ticket,archived_garanty_let"
"client_ticket,gd_pedestrian_all"
"client_ticket,gd_pedestrian_all_2020"
"client_ticket,voronka_ticket_buyer_test"
"closed_month_deal,closed_month_correction_group"
"closed_month_deal,closed_month_sum_deal_type"
"closed_month_deal,dr_deals_group_group"
"closed_month_deal,dr_leases_salary"
"closed_month_deal,lease_group_parametr"
"cloud_ats_clickhouse,mortgage_calls"
"cnt_realtors_with_consult,cnt_users_with_mortgage_1"
"cnt_realtors_with_consult,cnt_users_with_mortgage_2"
"cnt_realtors_with_mortgage,cnt_users_with_mortgage_1"
"cnt_realtors_with_mortgage,cnt_users_with_mortgage_2"
"cnt_realtors_with_zvb,cnt_users_with_mortgage_1"
"cnt_realtors_with_zvb,cnt_users_with_mortgage_2"
"cnt_user_group,deals_buy_mortgage_final"
"cnt_user_group,mortgage_action_final"
"cnt_users_of_experience,ch_cnt_users_of_experience"
"cnt_users_with_mortgage_1,cnt_users_with_mortgage_final"
"cnt_users_with_mortgage_2,cnt_users_with_mortgage_final"
"comission_deposit_min_max,prognoz_commission_object"
"comment_object,object_care_all"
"comments,comment_object"
"comments,comments_prozvon"
"comments,final_date_proverki"
"comment_ticket_responcible,double_region_ticket"
"comment_ticket_responcible,object_care_all"
"comment_ticket_responcible,ticket_care"
"comment_ticket_responcible,voronka_ticket_buyer_test"
"comment_ticket_responcible_regional,ticket_care"
"commission_prospective,sale_commission"
"commissions_acquiring,deals_commission_all"
"commission_sum_new,dr_deals_commissions_final"
"commod_dogovor,commod_urmodule"
"compensation_objects,transfer_objects"
"contract_direct_check_request,params_online_instruments"
"contracts_type_catalog,ost_ticket_contract_distinct"
"contracts_type_catalog,split_city_contracts_type_catalog"
"conv_deal_deposit,conv_deal_deposit_and_buy"
"conv_deal_deposit,deals_buy_sell"
"conv_deal_deposit,zadatki_operation_buy"
"conv_deal_deposit_and_buy,deposit_buy"
"conv_deal_deposit_and_buy,deposit_sell"
"conv_deal_deposit_and_buy,last_date_deposit"
"conv_deal_deposit_and_buy,market_plan_date_deposit"
"converse_buy_1,conversion_slice1"
"converse_buy_2,conversion_slice1"
"converse_deposit,beginner_adaptation_deposit"
"converse_deposit,converse_deposit_status"
"converse_deposit,count_deposit_srez"
"converse_deposit,deposit_ticket_all"
"converse_deposit,first_deposit_date_rieltor"
"converse_deposit,indicators_for_the_margin_widget_city"
"converse_deposit,indicators_for_the_margin_widget_manager"
"converse_deposit,risk_zone_deposit"
"converse_deposit,risk_zone_deposit_closing_ratio"
"converse_deposit_status,beginner_adaptation_deposit"
"converse_deposit_status,count_deposit_srez"
"converse_deposit_status,risk_zone_deposit_closing_ratio"
"conversion_calls_agrerator,count_callls_from_agregators"
"core_base,all_supply_a"
"core_base,ch_core_base"
"core_base,deals_new"
"correction_transaction,beginner_adaptation_charge_paper"
"correction_zp_payments,dr_deals_payments"
"cottages,cottages_active_objects_cslice"
"cottages,created_objects_from_2015"
"cottages,deals_76"
"cottages,deleted_object"
"cottages,dr_deals_payments"
"cottages,object_additional_fields_all_new"
"cottages,sell_cottages_document"
"cottages,source_photo_category"
"cottages_for_purchaser,object_and_suitable_ticket_new"
"count_3d_tours,layout_deleted_object"
"count_change_price,deals_sell"
"count_change_price,fields_for_calculating_sale_conversion"
"count_change_price,object_care_all"
"count_change_price,voronka_sale_object"
"count_egrn_object,voronka_sale_object"
"count_layouts_in_object_for_layout_sub_t,layout_deleted_object"
"count_layouts_in_object_for_type,layout_deleted_object"
"count_layouts_in_object_for_type,ticket_layout_date"
"count_main_photo,active_objects_photos"
"count_main_photo,active_objects_photos_final"
"count_manager_group,cnt_users_with_mortgage_final_new"
"count_marketing_plan_manager,slice_count_marketing_plan_manager"
"count_marketing_plan_rop,slice_count_marketing_plan_rop"
"count_newcomplexes_coords,newhouse_audit_final"
"count_object,count_object_city"
"count_object_city,all_ticket_166"
"count_object_ctive_rieltor,beginner_adaptation_final"
"count_object_ctive_rieltor,risk_zone"
"count_object_ctive_rieltor,view_price_final"
"count_podbor_30,object_ddu_final"
"count_podbor_ticket_all,voronka_ticket_buyer"
"count_pokaz_object,funnel_rent"
"count_pokaz_object,object_care_all"
"count_pokaz_object,pokaz_ries_mobile"
"count_pokaz_object,voronka_sale_object"
"count_pokaz_podbor_af_approved,voronka_ticket_buyer_test"
"count_pokaz_ticket_all,funnel_lease"
"count_pokaz_ticket_all,mortgage_action_final"
"count_pokaz_ticket_all,ticket_care"
"count_pokaz_ticket_all,voronka_ticket_buyer"
"count_prof_photos,active_objects_photos"
"count_prof_photos,bi_expose_flats_objects"
"count_prof_photos,count_proto_for_type"
"count_prof_photos,created_objects_from_2015"
"count_prolong_15,insurance_prolong_all"
"count_prolong_15_185,insurance_prolong_all"
"count_prolong_gli,insurance_prolong_all"
